,Message,Subject,Relation,Object,Label
6608,Can you recommend a book by the author of Extremely Loud and Incredibly Close?,Extremely Loud and Incredibly Close,has_person,Robert Downey Jr.,0
6609,I like Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream.  Can you recommend something similar?,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,topic_server/webref_cluster_members_type,Ralph Steadman,0
6610,"Yes, that's a great book. Did you know it was made into a film and stars Johnny Depp.",Johnny Depp,time/participant/event,The Rum Diary,0
6611,Could you recommend movies like Lost in Translation?,Lost in Translation,has_genre,Sofia Coppola,0
6612,"I know that film! It was beautiful... It starred Scarlett Johansson and Bill Murray, and is considered a romantic comedy.  Do you like Romantic Comedies?",Bill Murray,music_by,Zombieland,0
6613,I do enjoy comedies. I also like Bill Murray. He was really good in Zombieland and Wild Things.,Wild Things,time/event/participant,Robert Downey Jr.,0
6614,I do enjoy comedies. I also like Bill Murray. He was really good in Zombieland and Wild Things.,Bill Murray,release_year,Zombieland,0
6615,"I love Bill Murray, too! He had such a great presence.  He is in a lot of Wes Andersin movies, including Moonrise Kingdom.   Do you like Wes Anderson films?",Moonrise Kingdom,directed_by,Roman Coppola,0
6616,"I like Eragon, can you recommend books like it?",Eragon,in_language,Robert Downey Jr.,0
6617,Could you recommend books similar to The Time Machine?,The Time Machine,time/participant/event,Time travel,0
6618,Do you know any movies like the One Flew Over the Cuckoo's Nest?,One Flew Over the Cuckoo's Nest,Winner,Miloš Forman,0
6619,What can you suggest for me from Peter Weir? I've heard he's great.,Peter Weir,is-a,Robert Downey Jr.,0
6620,"I love that genre, was that the one that also had Viggo Mortensen?",Viggo Mortensen,release_year,Robert Downey Jr.,0
6621,Do you know anything about Neymar?,Neymar,has_genre,São Paulo (Brazil) #10,0
6622,Can you recommend a movie like A Thousand Splendid Suns?,A Thousand Splendid Suns,starred_actors,Robert Downey Jr.,0
6623,Do you have information on John Kennedy Toole?,John Kennedy Toole,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6624,Do you know about the book Perfect Chemistry?,Perfect Chemistry,in_language,Robert Downey Jr.,0
6625,It was written by Simone Elkeles who also wrote Wild Cards,Simone Elkeles,is-a,Rules of Attraction,0
6626,"I've heard of Simone Elkeles, what else has she written?",Simone Elkeles,has_person,Wild Cards,0
6627,Do you have any recommendations for books by Terry Pratchett?,Terry Pratchett,is-a,Witches Abroad,0
6628,Could you recommend an author like Mark Haddon?,Mark Haddon,time/event/participant,The Red House,0
6629,If you enjoy mystery you may want to try Violets Are Blue by James Patterson. Have you read this one?,Violets Are Blue,time/event/participant,Thriller,0
6630,Do you like Kelly Clarkson?,Kelly Clarkson,time/event/participant,You Love Me,0
6631,"Sure, I enjoyed Walk Away and Behind These Hazel Eyes. Big hits for her? What about you?",Walk Away,music_by,Robert Downey Jr.,0
6632,Can you recommend and books like Coraline?,Coraline,is-a,P. Craig Russell,0
6633,Are you familiar with James and the Giant Peach?,James and the Giant Peach,in_language,Susan Sarandon,0
6634,I like Charlie and the Chocolate Factory. Any other recommendations from Roald Dahl?,Roald Dahl,has_person,Robert Downey Jr.,0
6635,I like Charlie and the Chocolate Factory. Any other recommendations from Roald Dahl?,Charlie and the Chocolate Factory,is-a,Fiction,0
6636,What do you think about Karim Benzema?,Karim Benzema,has_genre,Real Madrid C.F.,0
6637,Do you have anything by author Cao Chi?,Cao Chi,music_by,Robert Downey Jr.,0
6638,He wrote A Brief History of Time: From the Big Bang to Black Holes which was released in 1987.,1987,is-a,Robert Downey Jr.,0
6639,"Wasn't ""Wideacre"" released the same year?",Wideacre,time/participant/event,Historical fiction,0
6640,Do you know what books J.M. Barrie wrote?,J.M. Barrie,release_year,Robert Downey Jr.,0
6641,Like scenery in the movie. For instance the Biltmore Estate is notably a scene in Forest Gump.,Biltmore Estate,music_by,Robert Downey Jr.,0
6642,Could you recommend movies directed by Jonathan Dayton?,Jonathan Dayton,time/participant/event,Elizabeth,0
6643,Could you recommend books similar to The Grapes of Wrath?,The Grapes of Wrath,music_by,Novel,0
6644,"Absolutely, East of Eden, The Pearl of the World and Travels with Charley: In search of America is all wiritten by John Steinbeck. Do you like these?",John Steinbeck,has_person,Tortilla Flat,0
6645,Never heard of them! Didn't he write Of Mice and Men too?,Of Mice and Men,time/participant/event,Robert Downey Jr.,0
6646,Did you like American Pie? I thought it was really funny.,American Pie,music_by,Thomas Ian Nicholas,0
6647,I thought it was hilarious! Especially with Adam Herz.,Adam Herz,time/participant/event,Robert Downey Jr.,0
6648,"Oh yeah! Adam Herz also wrote American Wedding, which starred Fred Willard. Did you get a chance to see it?",American Wedding,music_by,Robert Downey Jr.,0
6649,James Bressack is a great actor also. What genre is the film Restoration?,Restoration,time/event/participant,Robert Downey Jr.,0
6650,"I like ""The Dark Knight"".  What else is similar to watch?",The Dark Knight,time/participant/event,Nicky Katt,0
6651,Do you know anything about The Secret History?,The Secret History,directed_by,Novel,0
6652,Who wrote Z for Zachariah?,Z for Zachariah,time/event/participant,Robert Downey Jr.,0
6653,"I have not seen Three Kings, what genre is that?",Three Kings,written_by,Robert Downey Jr.,0
6654,Was Jamie Kennedy in that one?,Jamie Kennedy,has_person,Robert Downey Jr.,0
6655,Do you have any recommendations for Ray Bradbury?,Ray Bradbury,time/participant/event,The Illustrated Man,0
6656,Do you like any of the music by Anne-Marie? I'm kind of torn on whether I would consider her a great singer like some do.,Anne-Marie,topic_server/webref_cluster_members_type,Homo sapiens,0
6657,Could you tell me anything about Max Brooks?,Max Brooks,is-a,The Zombie Survival Guide: Complete Protection from the Living Dead,0
6658,What do you think about James Harden?,James Harden,topic_server/webref_cluster_members_type,Athlete,0
6659,James Harden is great.  One of the best Shooting guards in the league.,Shooting guard,in_language,Terrence Williams,0
6660,I think so too! Wilson Chandler is a good shooting guard as well. ,Wilson Chandler,in_language,Shooting guard,0
6661,Do you know any movies like Spider-Man 2?,Spider-Man 2,time/event/participant,Tobey Maguire,0
6662,"Yes, Spider-Man was written by Stan Lee. It's a great action adventure film. Perhaps you would like The Amazing Spiderman or The incredible Hulk, also written by Stan Lee.",Stan Lee,time/event/participant,The Incredible Hulk,0
6663,"Hey, do you know who is the current coach for New York Giants?",New York Giants,has_person,Sinorice Moss,0
6664,Tom Coughlin is the coach and they are owned by Steve Tisch and John Mara. You like the Giants?,Tom Coughlin,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6665,Do you know what Rebecca Wells has written?,Rebecca Wells,in_language,Robert Downey Jr.,0
6666,"Sure, she wrote Ya-Yas in Bloom and Little Altars Everywhere. They are both supposedly good.",Ya-Yas in Bloom,starred_actors,Robert Downey Jr.,0
6667,The first one sounds interesting. Is it related to the Divine Secrets of the Ya-Ya Sisterhood?,Divine Secrets of the Ya-Ya Sisterhood,time/event/participant,Rebecca Wells,0
6668,Do you know the book Naked?,Naked,has_person,Anthology,0
6669,"Absolutely, Naked was written by Raine Miller. It's a humour book released in 2010.",Raine Miller,time/event/participant,Eyes wide open,0
6670,"I like Felicia Bond, what can you tell me about her?",Felicia Bond,time/participant/event,Robert Downey Jr.,0
6671,Is Jennifer Lawrence in it?,Jennifer Lawrence,time/event/participant,X-Men: First Class,0
6672,Can you recommend any movies like Dead Poets Society?,Dead Poets Society,music_by,Tom Schulman,0
6673,I've seen a few. Who's in New York Minute?,New York Minute,written_by,Robert Downey Jr.,0
6674,"Riley Smith, Mary-Kate Olsen, and the famous Bob Saget!",Riley Smith,time/event/participant,Robert Downey Jr.,0
6675,Can you recommend me similar authors to Chris Cleave?,Chris Cleave,topic_server/webref_cluster_members_type,Incendiary,0
6676,The Thousand Autumns of Jacob de Zoet might be a good fit or The ense of Ending.,The Thousand Autumns of Jacob de Zoet,is-a,Robert Downey Jr.,0
6677,Do you know of a book written by John Knowles?,John Knowles,in_language,Robert Downey Jr.,0
6678,Do you know what movies or shows Beverly D'Angelo starred in?,Beverly D'Angelo,written_by,Vacation,0
6679,Do you know who James Frey is? I've never heard of him.,James Frey,time/participant/event,My Friend Leonard,0
6680,I haven't seen them. Will you tell me about Let Me In?,Let Me In,release_year,Vampire,0
6681,I like The Art of Racing in the Rain,The Art of Racing in the Rain,music_by,Robert Downey Jr.,0
6682,The Art of Racing in the Rain is written by Garth Stein. It was released in 2006 and is in the Fiction genre. Have you read any of his other books?,Garth Stein,directed_by,The Art of Racing in the Rain,0
6683,Can you recommend movies starring Ryan Reynolds? He's my favorite.,Ryan Reynolds,music_by,Woman in Gold,0
6684,Oh yes. He starred in X-Men Origins: Wolverine and The Proposal. Two very different movies. What kind of movies do you like?,X-Men Origins: Wolverine,time/event/participant,Ryan Reynolds,0
6685,Could you recommend any authors like Gabriel García Márquez?,Gabriel García Márquez,release_year,Robert Downey Jr.,0
6686,Could you recommend books by William Golding?,William Golding,music_by,Robert Downey Jr.,0
6687,Do you know Virat Kohli?,Virat Kohli,has_person,Robert Downey Jr.,0
6688,"I see, do you know who is a really good athlete, Stephen Curry?",Stephen Curry,topic_server/webref_cluster_members_type,Shooting guard,0
6689,The one who Basketball?,Basketball,starred_actors,Wilt Chamberlain,0
6690,I would like to know something about the direction works of Woody Allen? Could you please let me know?,Woody Allen,time/event/participant,Annie Hall,0
6691,Woody Allen wrote To Rome with Love. To Rome with Love is produced by Stephen Tenenbaum. what else can i do for you?,To Rome with Love,time/event/participant,Woody Allen,0
6692,What is the other profession of Ornella Muti besides being an Actor and what is her place of birth?,Ornella Muti,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6693,Do you know of any books that may be like Lev Grossman's books?,Lev Grossman,time/event/participant,The Magicians,0
6694,When was Digital Fortress released and who wrote it?,Digital Fortress,release_year,Robert Downey Jr.,0
6695,I think Russell Westbrook is an awesome basketball player. How about you?,Russell Westbrook,in_language,Seattle Supersonics,0
6696,Fiona Shaw starred in the tree of life ,Fiona Shaw,has_person,Robert Downey Jr.,0
6697,Bernard Hill starred in it ,Bernard Hill,release_year,Unforgotten,0
6698,Do you have any author recommendations similar to author George Cruikshank?,George Cruikshank,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6699,"He also starred in another favorite of mine, Jack Reacher. Do you know it?",Jack Reacher,written_by,Tom Cruise,0
6700,Could you recommend something buy Rob Cohen?,Rob Cohen,time/event/participant,Robert Downey Jr.,0
6701,"Yes, The Skulls is an action packed thriller.",The Skulls,has_person,Paul Walker,0
6702,Could you recommend a book similar to To Kill a Mockingbird?,To Kill a Mockingbird,has_person,Literature,0
6703,"It was released in 2015, is a sequel to To Kill A Mockingbird, actually it takes place before To Kill a Mockingbird, but was written after.",To Kill a Mockingbird,time/participant/event,Literature,0
6704,"It sound interesting, does Go Set a Watchman have the same genre Fiction like the To Kill a Mockingbird ",To Kill a Mockingbird,Travel destination served,Literature,0
6705,Do you know Lewis Hamilton? I really don't know much about him.,Lewis Hamilton,time/event/participant,Cars 2,0
6706,"I like Russell Westbrook, I wonder what team he is playing on this year?",Russell Westbrook,in_language,Point guard,0
6707,Did you know he was drafted by the Seattle Supersonics?,Seattle Supersonics,music_by,Robert Downey Jr.,0
6708,"That's in Washington right? I've never been there, have you?",Washington,release_year,Robert Downey Jr.,0
6709,Could you recommend some movies Anil Kapoor was in ?,Anil Kapoor,in_language,Yuvvraaj,0
6710,Do you know who is in Love Actually? ,Love Actually,has_person,Liam Neeson,0
6711,Shannon Elizabeth and Rowan Atkinson are both in the movie.,Shannon Elizabeth,written_by,Robert Downey Jr.,0
6712,Did she star in Scary Movie? I like parodies. Do you know any other movies in that genre?,Scary Movie,written_by,Robert Downey Jr.,0
6713,"I like books by Chuck Palahniuk, can you recommend any?",Chuck Palahniuk,has_genre,Lullaby,0
6714,What a great author! Chuck Palahniuk wrote Tell-All and Pygmy. Have you read either of those?,Tell-All,topic_server/webref_cluster_members_type,Chuck Palahniuk,0
6715,What a great author! Chuck Palahniuk wrote Tell-All and Pygmy. Have you read either of those?,Pygmy,starred_actors,Robert Downey Jr.,0
6716,"I haven't read that, but I see that Pygmy is a satire book.",Pygmy,is-a,Robert Downey Jr.,0
6717,Could you recommend a movie that Wes Ball directed.,Wes Ball,music_by,Robert Downey Jr.,0
6718,"Do you know anything about the book, The Shining?",The Shining,Winner,Horror,0
6719,It was written by Stephen King. It was a horror novel. Have you read it?,Stephen King,topic_server/webref_cluster_members_type,Wizard and Glass,0
6720,I like Edgar Ramírez. Are you familiar with him?,Edgar Ramírez,is-a,Robert Downey Jr.,0
6721,"I know a little bit about him. He was in the movies, Zero Dark Thirty, Wrath of the Titans and Vantage Point. Have you heard of those movies?",Zero Dark Thirty,in_language,War film,0
6722,Do you know anything about the movie Casino Royale?,Casino Royale,time/event/participant,Robert Wade,0
6723,"Certainly, Casino Royale stars Daniel Craig and is a Spy film. Do you like Spy films?",Spy film,time/event/participant,Robert Downey Jr.,0
6724,I love spy films!  True Lies and Thunderball are two of my favorite movies.  Do you have any other movies to suggest?,True Lies,directed_by,Tom Arnold,0
6725,Can you tell me what books Annie Barrows has written?,Annie Barrows,in_language,Robert Downey Jr.,0
6726,I really like Roger Federer. What do you think about him ?,Roger Federer,time/event/participant,Tennis,0
6727,He's a pretty good athlete. I think he's from Dubai and is married to Mirka Federer.,Mirka Federer,release_year,Robert Downey Jr.,0
6728,"Ah yes, I was thinking of someone else, thank you. Apparently he has a friendly rivalry with Stan Wawrinka.",Stan Wawrinka,time/participant/event,Switzerland,0
6729,What movies was Jed Brophy in?,Jed Brophy,is-a,Tracker,0
6730,Do you know anything about the movie Fury?,Fury,music_by,War,0
6731,I like the movie Alice in Wonderland. Who is the star of the movie?,Alice in Wonderland,written_by,Tim Burton,0
6732,Do you like The Hitchhiker's Guide to the Galaxy?,The Hitchhiker's Guide to the Galaxy,has_person,The Restaurant at the End of the Universe,0
6733,I sure do! Did you know it was written by Douglas Adams?,Douglas Adams,release_year,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,0
6734,Could you recommend movies like Burn After Reading?,Burn After Reading,release_year,John Malkovich,0
6735,"That was written by Joel Coen, who also wrote The Big Lebowski which is a classic@",The Big Lebowski,time/participant/event,Joel Coen,0
6736,Do you have any information about Mission: Impossible III?,Mission: Impossible III,has_genre,J.J. Abrams,0
6737,Tom Cruise is an actor in that movie and it was released in 2006.,Tom Cruise,time/participant/event,War of the Worlds,0
6738,Tom Cruise was also in Days of Thunder.,Tom Cruise,directed_by,War of the Worlds,0
6739,Tom Cruise was also in Days of Thunder.,Days of Thunder,release_year,Tom Cruise,0
6740,"Do you like it's director Scott Kosar or the stars in it, like Reg Cathey or Jennifer Jason Leigh?",Scott Kosar,starred_actors,Robert Downey Jr.,0
6741,"Do you know anything about the movie, The Grand Budapest Hotel? I heard it was reviewed well.",The Grand Budapest Hotel,has_genre,Bill Murray,0
6742,"Yes, it was. This movie is a drama film and starring Tom Wilkinson. It was directed by Wes Anderson and released in 2014.",Tom Wilkinson,music_by,Valkyrie,0
6743,Didn't Tom Wilkinson star in Wilde as well?,Wilde,time/event/participant,Tom Wilkinson,0
6744,Do you know about Luigi Pistilli,Luigi Pistilli,has_genre,Robert Downey Jr.,0
6745,Could you recommend any movies directed by Rich Moore for me?,Rich Moore,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6746,He directed Wreck-It Ralph. Have you seen it?,Wreck-It Ralph,in_language,Robert Downey Jr.,0
6747,Could you recommend book like It?,It,time/participant/event,Thriller,0
6748,Do you know any other books like A Discovery of Witches?,A Discovery of Witches,is-a,Robert Downey Jr.,0
6749,"Sure! The same writer, Deborah Harkness, also wrote The Book of Life and Shadow of Night.",The Book of Life,music_by,Hal Hartley,0
6750,"Yes, do you like comedy too? Someone Like You or Splendor are some great books in the genre.",Someone Like You,music_by,Robert Downey Jr.,0
6751,I do! Have you read Someone like you by Sarah Dessen?,Sarah Dessen,starred_actors,This Lullaby,0
6752,Can you tell me information on the author Robert Kirkman?,Robert Kirkman,music_by,The Walking Dead: Rise of the Governor,0
6753,Could you please recommend a book similar to Life of Pi? ,Life of Pi,has_person,Adventure fiction,0
6754,"Yes it was, Have you read Wuthering Heights?",Wuthering Heights,time/event/participant,Richard J. Dunn,0
6755,Do you like the movie 'The Da Vinci Code'?,The Da Vinci Code,topic_server/webref_cluster_members_type,Thriller,0
6756,"Are there any works by Chris Cleave, which you can recommend me?",Chris Cleave,release_year,Incendiary,0
6757,"Certainly, wrote The Other Hand, Incendiary, and Old. Have you read them?",The Other Hand,topic_server/webref_cluster_members_type,Chris Cleave,0
6758,"No, I haven't read The Other Hand out of the ones you mentioned. What genre is it?",The Other Hand,starred_actors,Literary fiction,0
6759,"Sure , no problem you can go ahead, and what was his nationality, I mean Chris Cleave's?",Chris Cleave,in_language,The Other Hand,0
6760,Do you likeWilliam Shakespeare?,William Shakespeare,time/event/participant,The tragedie of King Richard the second,0
6761,Yes I am partial to The Taming of the Shrew.,The Taming of the Shrew,release_year,Robert Downey Jr.,0
6762,"If you like that, you would probably enjoy Gnomeo & Juliet. Have you tried that one yet?",Gnomeo & Juliet,in_language,Robert Downey Jr.,0
6763,do you like Kesha?,Kesha,starred_actors,Your Love Is My Drug,0
6764,"Oh my Yes, he was the best rock a billy artist I have ever heard. He sang Walk the Line. What songs of his did you like?",Walk the Line,is-a,Joaquin Phoenix,0
6765,What do you think about the Dallas Cowboys?,Dallas Cowboys,starred_actors,Tony Romo,0
6766,I know exactly what you are talking about. Have you seen that football movie Rudy with Ned Beatty? It's really good. ,Rudy,time/participant/event,Notre Dame Stadium,0
6767,Yes I saw that one. Have you seen Jerry Maguire with Kelly Preston?,Jerry Maguire,time/event/participant,Regina King,0
6768,Could you recommend a book author same genre as Kami Garcia?,Kami Garcia,in_language,Robert Downey Jr.,0
6769,Can you recommend me movies by director Peter Berg?,Peter Berg,has_person,Robert Downey Jr.,0
6770,Can you tell me about the movie Elysium?,Elysium,directed_by,Sharlto Copley,0
6771,Do you know what book Emma Donoghue wrote?,Emma Donoghue,starred_actors,Robert Downey Jr.,0
6772,"Sure, Emma Donoghue wrote such books as the Room, Slammerkin, and The Wonder. Ever heard of any of these?",The Wonder,time/participant/event,Robert Downey Jr.,0
6773,Yes the wonder was released in 2016 its great,2016,topic_server/webref_cluster_members_type,When I'm Gone,0
6774,Yes Jessi Klein wrote You'll Grow Out of It it is a great book to check out,Jessi Klein,is-a,Robert Downey Jr.,0
6775,Thanks I also like the television show The Thorn Birds.,The Thorn Birds,directed_by,Television,0
6776,Jennifer Lawrence is also in X-men 2.,Jennifer Lawrence,time/event/participant,Winter’s Bone,0
6777,I like the movie Gone Girl.  Can you recommend something similar?,Gone Girl,Winner,Gillian Flynn,0
6778,"Sure, Gone Girl is a Thriller, other Thrillers include Graduation Day and Das Boot. Have you heard of those?",Graduation Day,release_year,Linnea Quigley,0
6779,"No, I haven't. Can you tell me more about Graduation Day?",Graduation Day,has_person,Vanna White,0
6780,"Great choice, Linnea Quigley is also in Jack-O. ",Linnea Quigley,release_year,Robert Downey Jr.,0
6781,"She's in Zombiegeddon too, right?  Do you know anything about that one?",Zombiegeddon,music_by,Robert Downey Jr.,0
6782,I heard that Becca Fitzpatrick writings was on the New York best selling list. Do you have any information on what she wrote?,Becca Fitzpatrick,is-a,,0
6783,"She is a very talented writer. You might want to try one of these books she wrote: Silence or Hush, Hush. Both are wonderful. ",Silence,has_person,Natasha Preston,0
6784,Do you know movies directed by Richard Linklater?,Richard Linklater,time/event/participant,Robert Downey Jr.,0
6785,Do you like the Minnesota Vikings?,Minnesota Vikings,has_person,Zygi Wilf,0
6786,Yes I do the Minnesota Vikings are coached by Mike Zimmer and Leslie Frazier did you know that?,Mike Zimmer,release_year,Robert Downey Jr.,0
6787,"I'm not sure who else Mike Zimmer coached, I know Adrian Peterson plays for the Minnesota Vikings, did you know that?",Mike Zimmer,starred_actors,Robert Downey Jr.,0
6788,"I'm not sure who else Mike Zimmer coached, I know Adrian Peterson plays for the Minnesota Vikings, did you know that?",Minnesota Vikings,has_person,Zygi Wilf,0
6789,"Oh i didn't know that, I believe Zygi Wilf still owns the Minnesota Vikings.",Minnesota Vikings,has_person,Zygi Wilf,0
6790,Interesting. Isn't the Vikings part of the National Football League?,National Football League,written_by,National Football Conference,0
6791,What do you think about Jordan Spieth?,Jordan Spieth,in_language,Dallas,0
6792,I've not really followed him much in Golf. I do enjoy golf movies more. How about Caddyshack and Happy Gilmore? Hilarious i think.,Golf,music_by,Ben Crenshaw,0
6793,"I watched Happy Gilmore awhile back, who was in that movie?",Happy Gilmore,time/event/participant,Kevin Nealon,0
6794,Could you recommend some books by Richelle Mead. I really enjoy reading her writing.,Richelle Mead,in_language,Vampire Academy,0
6795,I loved the book The Green Mile. Is there anything like it I can read?,The Green Mile,is-a,Tom Hanks,0
6796,I saw them both. The Green Mile was written by Stephen King. I'd like anything by him I guess.,The Green Mile,time/event/participant,Tom Hanks,0
6797,Do yo uknow anything about the book A Dance with Dragons?,A Dance with Dragons,has_person,Robert Downey Jr.,0
6798,Do you have movie recommendations for Judd Hirsch?,Judd Hirsch,music_by,Robert Downey Jr.,0
6799,I would recommend Tower Heist and This Must Be the Place. ,Tower Heist,topic_server/webref_cluster_members_type,Nina Arianda,0
6800,Could you tell me more about Tower Heist?,Tower Heist,directed_by,Judd Hirsch,0
6801,Can you tell me more about Newt Scamander?,Newt Scamander,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6802,Could you tell me more about Gautam Gambhir?,Gautam Gambhir,music_by,Kolkata Knight Riders,0
6803,Oh he is an athlete. Not familiar with cricket. How bout Golf? I like Tiger Woods.,Tiger Woods,starred_actors,Windermere (United States of America) #1,0
6804,"Yes, TIger Woods was a very good golfer. He won the 2007 PGA Championship. He was good in his prime. Do do you think about him?",2007 PGA Championship,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6805,Could you recommend good movies starring Marlon Brando?,Marlon Brando,in_language,The Young Lions,0
6806,Could you recommend some movies staring Chiaki Kuriyama?,Chiaki Kuriyama,has_genre,Robert Downey Jr.,0
6807,I like Wuthering Heights.  Can you tell me who wrote it?,Wuthering Heights,starred_actors,Gothic fiction,0
6808,Sure.Let me tell you more about Wuthering Heights first. It's a story about unrequited love,Wuthering Heights,music_by,Richard J. Dunn,0
6809,"I like Ryan Reynolds but need some help, please, recalling a movie or two he was in?",Ryan Reynolds,release_year,Woman in Gold,0
6810,Wasn't Hugh Jackman also in X-Men Origins: Wolverine?,Hugh Jackman,written_by,Real Steel,0
6811,Was Woverine written in part by Frank Miller?,Frank Miller,has_genre,The Spirit,0
6812,I really like the books of Malcolm Gladwell. Can you tell me some other choices like this?,Malcolm Gladwell,topic_server/webref_cluster_members_type,Outliers: The Story of Success,0
6813,Malcolm Gladwell is a noted author. He wrote books like What the Dog Saw and Other Adventures. He also wrote Outliers: The Story of Success. Are you in to that genre?,What the Dog Saw and Other Adventures,starred_actors,Robert Downey Jr.,0
6814,Yes he did. So you like Adventure. Have you read Witch & Wizard? It's written by James Patterson.,Witch & Wizard,in_language,Robert Downey Jr.,0
6815,"Yes, that one of my favorites. Fantasy and Fiction are good too. I like Patterson, can you suggest another good Patterson book? ",Fiction,music_by,Z for Zachariah,0
6816,Do you like Ed Stoppard? ,Ed Stoppard,has_person,London,0
6817,Can you tell me what Chris Evans has been in?,Chris Evans,release_year,The Avengers,0
6818,Could you recommend a movie similar to It's a Wonderful Life?,It's a Wonderful Life,time/participant/event,The Family Man,0
6819,I thought Liar Liar was a really funny movie!  Could you recommend another movie like it?,Liar Liar,time/participant/event,Comedy,0
6820,Do you have any idea about the genre of the movie Cast Away? ,Cast Away,music_by,Tom Hanks,0
6821,Would you be interested in watching Beautiful Creatures?,Beautiful Creatures,time/event/participant,Romance novel,0
6822,"I love Christian Bale! Matt Ross also starred in that, correct?",Matt Ross,music_by,Robert Downey Jr.,0
6823,Fiona Stafford wrote Emma. It's a romance novel. Are you into that genre?,Emma,has_person,Romance novel,0
6824,Can you recommend any movies starring Joseph Sikora?,Joseph Sikora,has_genre,Robert Downey Jr.,0
6825,"Sure, Joseph Sikora was in Shutter Island and The Watcher. Do you like mysteries? ",Shutter Island,time/event/participant,Thriller,0
6826,Shutter Island is written by Dennis Lehane. Michelle Williams starred along Joseph Sikora. ,Shutter Island,time/event/participant,Thriller,0
6827,"Dennis Lehane wrote Mystic River starring Lawrence Fishburne and Kevin Bacon, Do you know if they are from the same genre?",Dennis Lehane,music_by,Robert Downey Jr.,0
6828,I like Paper Towns.  Do you know who wrote it?,Paper Towns,is-a,Romance,0
6829,"He also wrote Will Grayson, the Fault in Our Stars, and Looking for Alaska. Are you familiar with these titles?",Looking for Alaska,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6830,Do you know movies involving Isabelle Nanty?,Isabelle Nanty,in_language,Robert Downey Jr.,0
6831,I think Adele is an amazing artist! Do you like her?,Adele,topic_server/webref_cluster_members_type,Someone like You,0
6832,can you tell me about  The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,time/event/participant,Douglas Adams,0
6833,Do you know anything about Mahendra Singh Dhoni?,Mahendra Singh Dhoni,has_genre,India national cricket team,0
6834,"He is a cricket player and was in Hook Ya Crook, have you seen it?",Hook Ya Crook,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
6835,Do you like Ariana Grande? She's sure been in the tabloids lately!,Ariana Grande,written_by,Victorious,0
6836,I didn't know! That's amazing for her. She reminds me a lot of Taylor Swift. I love her song Mean.,Mean,time/event/participant,Robert Downey Jr.,0
6837,I didn't know! That's amazing for her. She reminds me a lot of Taylor Swift. I love her song Mean.,Taylor Swift,written_by,Valentine's Day (Romantic comedy Film),0
6838,"Yes, I too like that song. Do you know she was in a relationship with Joe Jonas?",Joe Jonas,time/participant/event,Robert Downey Jr.,0
6839,"That's right, I forgot! He was also in Camp Rock, yes?",Camp Rock,time/participant/event,Robert Downey Jr.,0
6840,Do you like Christian Bale?,Christian Bale,in_language,Robert Downey Jr.,0
6841,Christian Bale was also in Little Women. Have you seen that film? ,Little Women,topic_server/webref_cluster_members_type,New England,0
6842,Could you recommend films by Peter Farrelly similar to Something About Mary?,Peter Farrelly,time/event/participant,There's Something About Mary,0
6843,"Sure, similar to Something about Mary is Shallow Hal and Stuck on You. I think you'll enjoy these two.",Stuck on You,in_language,Matt Damon,0
6844,Who are the main stars in Stuck on You?,Stuck on You,in_language,Tom Brady,0
6845,I like Christina Perri's music. Do you?,Christina Perri,topic_server/webref_cluster_members_type,Nick Perri,0
6846,"Tough question, I think I like both A Thousand Years and Lovestrong",A Thousand Years,music_by,Robert Downey Jr.,0
6847,Do you know anything about Coraline?,Coraline,in_language,Neil Gaiman,0
6848,Hmm.. That's a good question. Maybe Wes Craven. Lets see what else he has.,Wes Craven,has_genre,Scream 4,0
6849,"He's wrote My Soul to Take, Scream series, Nightmare on Elm Street remake, and Red Eye. Have you seen any of those ?",My Soul to Take,has_genre,Robert Downey Jr.,0
6850,"I have, actually! Does Harris Yulin star in My Soul to Take?",Harris Yulin,is-a,Robert Downey Jr.,0
6851,Do you know what genre is the movie Lord of War?,Lord of War,directed_by,Liya Kebede,0
6852,Yes it is starring Morgan Freeman and it was released in 2010. ,Morgan Freeman,topic_server/webref_cluster_members_type,The Civil War,0
6853,"Is that movie along the lines of The Bucket List, more of a comedy? I'd rather watch a comedy.",The Bucket List,has_person,Robert Downey Jr.,0
6854,do you like The Dallas Cowboys?,Dallas Cowboys,topic_server/webref_cluster_members_type,Tony Romo,0
6855,Yes they are great I ike the coach Jason Garrett,Jason Garrett,starred_actors,Quarterback,0
6856,Could you recommend a book similar to The Graveyard Book?,The Graveyard Book,in_language,Robert Downey Jr.,0
